								
																	
ISBN	SELO	EDIÇÃO	VOLUME / SÉRIE	DISCIPLINA	SEGMENTO	COLEÇÃO	OBRA	AUTOR									
9788508178018	ÁTICA	1	Pré 1	Matemática	Educação Infantil	Projeto Ápis	Projeto Ápis - Matemática  VL 1	Luiz Roberto Dante e Noemi Bianchini									
9788508178032	ÁTICA	1	Pré 2	Matemática	Educação Infantil	Projeto Ápis	Projeto Ápis - Matemática  VL 2	Luiz Roberto Dante e Noemi Bianchini									
9788508178056	ÁTICA	1	Pré 3	Matemática	Educação Infantil	Projeto Ápis	Projeto Ápis - Matemática  VL 3	Luiz Roberto Dante e Noemi Bianchini									
9788508177936	ÁTICA	1	Pré 2	Linguagem	Educação Infantil	Projeto Ápis	Projeto Ápis- Linguaguem  VL 2	Luiz Roberto Dante e Noemi Bianchini									
9788508177950	ÁTICA	1	Pré 3	Linguagem	Educação Infantil	Projeto Ápis	Projeto Ápis- Linguaguem  VL 3	Luiz Roberto Dante e Noemi Bianchini									
9788508177912	ÁTICA	1	Pré 1	Linguagem	Educação Infantil	Projeto Ápis	Projeto Ápis- Linguaguem VL 1	Luiz Roberto Dante e Noemi Bianchini									
9788508177974	ÁTICA	1	Pré 1	Ciências	Educação Infantil	Projeto Ápis	Projeto Ápis- Natureza e sociedade VL 1	Luiz Roberto Dante e Noemi Bianchini									
9788508177981	ÁTICA	1	Pré 2	Ciências	Educação Infantil	Projeto Ápis	Projeto Ápis- Natureza e sociedade VL 2	Luiz Roberto Dante e Noemi Bianchini									
9788508178001	ÁTICA	1	Pré 3	Ciências	Educação Infantil	Projeto Ápis	Projeto Ápis- Natureza e sociedade VL 3	Luiz Roberto Dante e Noemi Bianchini									
9788508146246	ÁTICA	1	Pré 1	Inglês	Educação Infantil	Start Up	START UP - STAGE 1	Eliete Morino e Rita Faria									
9788508146260	ÁTICA	1	Pré 2	Inglês	Educação Infantil	Start Up	START UP - STAGE 2	Eliete Morino e Rita Faria									
9788508146284	ÁTICA	1	Pré 3	Inglês	Educação Infantil	Start Up	START UP - STAGE 3	Eliete Morino e Rita Faria									
9788508112715	ÁTICA	1	VU	Português	Ensino Fundamental 1	Construindo a Escrita	CONSTRUINDO A ESCRITA - ALFABETIZAÇÃO	Carmen Carvalho e outras									
9788508106202	ÁTICA	1	VU	Português	Ensino Fundamental 1	Construindo a Escrita	CONSTRUINDO A ESCRITA - DA LETRA DE IMPRENSA À LET...	Carmen Carvalho e outras									
9788508092574	ÁTICA	7	VU	Português	Ensino Fundamental 1	Construindo a Escrita	CONSTRUINDO A ESCRITA - GRAMÁTICA E ORTOGRAFIA	Carmen Carvalho e outras									
9788508092550	ÁTICA	9	VU	Português	Ensino Fundamental 1	Construindo a Escrita	CONSTRUINDO A ESCRITA - GRAMÁTICA E ORTOGRAFIA	Carmen Carvalho e outras									
9788508092536	ÁTICA	10	VU	Português	Ensino Fundamental 1	Construindo a Escrita	CONSTRUINDO A ESCRITA - GRAMÁTICA E ORTOGRAFIA	Carmen Carvalho e outras									
9788508092529	ÁTICA	12	VU	Português	Ensino Fundamental 1	Construindo a Escrita	CONSTRUINDO A ESCRITA - GRAMÁTICA E ORTOGRAFIA	Carmen Carvalho e outras									
9788508092659	ÁTICA	7	VU	Português	Ensino Fundamental 1	Construindo a Escrita	CONSTRUINDO A ESCRITA - TEXTOS, LEITURA E INTERPRETAÇÃO	Carmen Carvalho e outras									
9788508092635	ÁTICA	8	VU	Português	Ensino Fundamental 1	Construindo a Escrita	CONSTRUINDO A ESCRITA - TEXTOS, LEITURA E INTERPRETAÇÃO	Carmen Carvalho e outras									
9788508092611	ÁTICA	8	VU	Português	Ensino Fundamental 1	Construindo a Escrita	CONSTRUINDO A ESCRITA - TEXTOS, LEITURA E INTERPRETAÇÃO	Carmen Carvalho e outras									
9788508092598	ÁTICA	15	VU	Português	Ensino Fundamental 1	Construindo a Escrita	CONSTRUINDO A ESCRITA - TEXTOS, LEITURA E INTERPRETAÇÃO	Carmen Carvalho e outras									
9788508089338	ÁTICA	1	VU	Português	Ensino Fundamental 1	Construindo a Escrita	CONSTRUINDO A ESCRITA -TEXTOS, GRAMÁTICA E ORTOGRAFIA	Carmen Carvalho e outras									
9788508089314	ÁTICA	1	VU	Português	Ensino Fundamental 1	Construindo a Escrita	CONSTRUINDO A ESCRITA -TEXTOS, GRAMÁTICA E ORTOGRAFIA	Carmen Carvalho e outras									
9788508089291	ÁTICA	1	VU	Português	Ensino Fundamental 1	Construindo a Escrita	CONSTRUINDO A ESCRITA -TEXTOS, GRAMÁTICA E ORTOGRAFIA	Carmen Carvalho e outras									
9788508085521	ÁTICA	1	VU	Português	Ensino Fundamental 1	Construindo a Escrita	CONSTRUINDO A ESCRITA -TEXTOS, GRAMÁTICA E ORTOGRAFIA	Carmen Carvalho e outras									
9788508182114	ÁTICA	1	1º Ano	Matemática	Ensino Fundamental 1	Educação Financeira	EDUCACAO FINANCEIRA VOL 1	Luiz Roberto Dante									
9788508182121	ÁTICA	1	2º Ano	Matemática	Ensino Fundamental 1	Educação Financeira	EDUCACAO FINANCEIRA VOL 2	Luiz Roberto Dante									
9788508182138	ÁTICA	1	3º Ano	Matemática	Ensino Fundamental 1	Educação Financeira	EDUCACAO FINANCEIRA VOL 3	Luiz Roberto Dante									
9788508182145	ÁTICA	1	4º Ano	Matemática	Ensino Fundamental 1	Educação Financeira	EDUCACAO FINANCEIRA VOL 4	Luiz Roberto Dante									
9788508182152	ÁTICA	1	5º Ano	Matemática	Ensino Fundamental 1	Educação Financeira	EDUCACAO FINANCEIRA VOL 5	Luiz Roberto Dante									
9788508167685	ÁTICA	2	VU	Regional	Ensino Fundamental 1	Espaço e Tempo	RIO GRANDE DO SUL - ESPAÇO E TEMPO	Siziane Koch									
9788508166800	ÁTICA	4	1º Ano	Inglês	Ensino Fundamental 1	Hello	HELLO! - STAGE 1	Eliete Morino e Rita Faria									
9788508166862	ÁTICA	4	2º Ano	Inglês	Ensino Fundamental 1	Hello	HELLO! - STAGE 2	Eliete Morino e Rita Faria									
9788508167135	ÁTICA	4	3º Ano	Inglês	Ensino Fundamental 1	Hello	HELLO! - STAGE 3	Eliete Morino e Rita Faria									
9788508168026	ÁTICA	4	4º Ano	Inglês	Ensino Fundamental 1	Hello	HELLO! - STAGE 4	Eliete Morino e Rita Faria									
9788508168040	ÁTICA	4	5º Ano	Inglês	Ensino Fundamental 1	Hello	HELLO! - STAGE 5	Eliete Morino e Rita Faria									
9788508121755	ÁTICA	1	4º Ano	Religião	Ensino Fundamental 1	Jeitos de Crer	JEITOS DE CRER - BUSCANDO DEUS	Dora Incontri e Alessandro C. Bigheto									
9788508121717	ÁTICA	1	2º Ano	Religião	Ensino Fundamental 1	Jeitos de Crer	JEITOS DE CRER - FAZENDO O BEM	Dora Incontri e Alessandro C. Bigheto									
9788508121779	ÁTICA	1	5º Ano	Religião	Ensino Fundamental 1	Jeitos de Crer	JEITOS DE CRER - MUDANDO O MUNDO	Dora Incontri e Alessandro C. Bigheto									
9788508121694	ÁTICA	1	1º Ano	Religião	Ensino Fundamental 1	Jeitos de Crer	JEITOS DE CRER - SENDO GENTE	Dora Incontri e Alessandro C. Bigheto									
9788508121731	ÁTICA	1	3º Ano	Religião	Ensino Fundamental 1	Jeitos de Crer	JEITOS DE CRER - VIVENDO A VIDA	Dora Incontri e Alessandro C. Bigheto									
2643335	ÁTICA	1	4º Ano	Espanhol	Ensino Fundamental 1	Mi Mundo y Yo	MI MUNDO Y YO - ESPAÑOL PARA NIÑOS	María de Los Ángeles e Josephine Hernández									
2643298	ÁTICA	1	3º Ano	Espanhol	Ensino Fundamental 1	Mi Mundo y Yo	MI MUNDO Y YO - ESPAÑOL PARA NIÑOS	María de Los Ángeles e Josephine Hernández									
2643236	ÁTICA	1	1º Ano	Espanhol	Ensino Fundamental 1	Mi Mundo y Yo	MI MUNDO Y YO - ESPAÑOL PARA NIÑOS	María de Los Ángeles e Josephine Hernández									
2643250	ÁTICA	1	2º Ano	Espanhol	Ensino Fundamental 1	Mi Mundo y Yo	MI MUNDO Y YO - ESPAÑOL PARA NIÑOS	María de Los Ángeles e Josephine Hernández									
2771175	ÁTICA	1	5º Ano	Espanhol	Ensino Fundamental 1	Mi Mundo y Yo	MI MUNDO Y YO - ESPAÑOL PARA NIÑOS	María de Los Ángeles e Josephine Hernández									
9788508167968	ÁTICA	2	1º Ano	Ciências	Ensino Fundamental 1	Projeto Ápis	ÁPIS Ciências 1º ano 	Rogério Nigro e Maria Cristina Campos									
9788508166848	ÁTICA	2	2º Ano	Ciências	Ensino Fundamental 1	Projeto Ápis	ÁPIS Ciências 2º ano 	Rogério Nigro e Maria Cristina Campos									
9788508167173	ÁTICA	2	3º Ano	Ciências	Ensino Fundamental 1	Projeto Ápis	ÁPIS Ciências 3º ano 	Rogério Nigro e Maria Cristina Campos									
9788508167982	ÁTICA	2	4º Ano	Ciências	Ensino Fundamental 1	Projeto Ápis	ÁPIS Ciências 4º ano 	Rogério Nigro e Maria Cristina Campos									
9788508168002	ÁTICA	2	5º Ano	Ciências	Ensino Fundamental 1	Projeto Ápis	ÁPIS Ciências 5º ano 	Rogério Nigro e Maria Cristina Campos									
9788508167869	ÁTICA	2	1º Ano	Geografia	Ensino Fundamental 1	Projeto Ápis	ÁPIS GEOGRAFIA 1º ano 	Maria Elena Simielli									
9788508167883	ÁTICA	2	2º Ano	Geografia	Ensino Fundamental 1	Projeto Ápis	ÁPIS GEOGRAFIA 2º ano 	Maria Elena Simielli									
9788508167906	ÁTICA	2	3º Ano	Geografia	Ensino Fundamental 1	Projeto Ápis	ÁPIS GEOGRAFIA 3º ano 	Maria Elena Simielli									
9788508167920	ÁTICA	2	4º Ano	Geografia	Ensino Fundamental 1	Projeto Ápis	ÁPIS GEOGRAFIA 4º ano 	Maria Elena Simielli									
9788508167944	ÁTICA	2	5º Ano	Geografia	Ensino Fundamental 1	Projeto Ápis	ÁPIS GEOGRAFIA 5º ano 	Maria Elena Simielli									
9788508167760	ÁTICA	2	1º Ano	História	Ensino Fundamental 1	Projeto Ápis	ÁPIS HISTÓRIA 1º ano 	Maria Elena Simielli e Anna Maria Charlier									
9788508167784	ÁTICA	2	2º Ano	História	Ensino Fundamental 1	Projeto Ápis	ÁPIS HISTÓRIA 2º ano 	Maria Elena Simielli e Anna Maria Charlier									
9788508167807	ÁTICA	2	3º Ano	História	Ensino Fundamental 1	Projeto Ápis	ÁPIS HISTÓRIA 3º ano 	Maria Elena Simielli e Anna Maria Charlier									
9788508167821	ÁTICA	2	4º Ano	História	Ensino Fundamental 1	Projeto Ápis	ÁPIS HISTÓRIA 4º ano 	Maria Elena Simielli e Anna Maria Charlier									
9788508167845	ÁTICA	2	5º Ano	História	Ensino Fundamental 1	Projeto Ápis	ÁPIS HISTÓRIA 5º ano 	Maria Elena Simielli e Anna Maria Charlier									
9788508167159	ÁTICA	2	1º Ano	Matemática	Ensino Fundamental 1	Projeto Ápis	ÁPIS MATEMÁTICA 1º ano 	Luiz Roberto Dante									
9788508167470	ÁTICA	2	2º Ano	Matemática	Ensino Fundamental 1	Projeto Ápis	ÁPIS MATEMÁTICA 2º ano 	Luiz Roberto Dante									
9788508167708	ÁTICA	2	3º Ano	Matemática	Ensino Fundamental 1	Projeto Ápis	ÁPIS MATEMÁTICA 3º ano 	Luiz Roberto Dante									
9788508167722	ÁTICA	2	4º Ano	Matemática	Ensino Fundamental 1	Projeto Ápis	ÁPIS MATEMÁTICA 4º ano 	Luiz Roberto Dante									
9788508167746	ÁTICA	2	5º Ano	Matemática	Ensino Fundamental 1	Projeto Ápis	ÁPIS MATEMÁTICA 5º ano 	Luiz Roberto Dante									
9788508169160	ÁTICA	2	1º Ano	Português	Ensino Fundamental 1	Projeto Ápis	ÁPIS PORTUGUÊS 1º ano 	Ana Borgatto, Terezinha Bertin e Vera Marchezi									
9788508169184	ÁTICA	2	2º Ano	Português	Ensino Fundamental 1	Projeto Ápis	ÁPIS PORTUGUÊS 2º ano 	Ana Borgatto, Terezinha Bertin e Vera Marchezi									
9788508169207	ÁTICA	2	3º Ano	Português	Ensino Fundamental 1	Projeto Ápis	ÁPIS PORTUGUÊS 3º ano 	Ana Borgatto, Terezinha Bertin e Vera Marchezi									
9788508169221	ÁTICA	2	4º Ano	Português	Ensino Fundamental 1	Projeto Ápis	ÁPIS PORTUGUÊS 4º ano 	Ana Borgatto, Terezinha Bertin e Vera Marchezi									
9788508169245	ÁTICA	2	5º Ano	Português	Ensino Fundamental 1	Projeto Ápis	ÁPIS PORTUGUÊS 5º ano 	Ana Borgatto, Terezinha Bertin e Vera Marchezi									
9788508178667	ÁTICA	2	2º Ano	Ciências	Ensino Fundamental 1	Projeto Lumirá	LUMIRÁ - CIÊNCIAS 2º ANO-2 ED - 2015	Editora Ática									
9788508178681	ÁTICA	2	3º Ano	Ciências	Ensino Fundamental 1	Projeto Lumirá	LUMIRÁ - CIÊNCIAS 3º ANO- 2 ED-2015	Editora Ática									
9788508178704	ÁTICA	2	4º Ano	Ciências	Ensino Fundamental 1	Projeto Lumirá	LUMIRÁ - CIÊNCIAS 4º ANO- 2 ED - 2015	Editora Ática									
9788508178728	ÁTICA	2	5º Ano	Ciências	Ensino Fundamental 1	Projeto Lumirá	LUMIRÁ - CIÊNCIAS 5º ANO - 2 ED-2015	Editora Ática									
9788508178506	ÁTICA	2	2º Ano	Geografia	Ensino Fundamental 1	Projeto Lumirá	LUMIRÁ - GEOGRAFIA 2º ANO - 2 ED-2015	Editora Ática									
9788508178520	ÁTICA	2	3º Ano	Geografia	Ensino Fundamental 1	Projeto Lumirá	LUMIRÁ - GEOGRAFIA 3º ANO- 2 ED -2015	Editora Ática									
9788508178544	ÁTICA	2	4º Ano	Geografia	Ensino Fundamental 1	Projeto Lumirá	LUMIRÁ - GEOGRAFIA 4º ANO- 2 ED- 2015	Editora Ática									
9788508178568	ÁTICA	2	5º Ano	Geografia	Ensino Fundamental 1	Projeto Lumirá	LUMIRÁ - GEOGRAFIA 5º ANO - 2 ED-2015	Editora Ática									
9788508178940	ÁTICA	2	1º Ano	Integrado	Ensino Fundamental 1	Projeto Lumirá	LUMIRÁ - HIS/GEO/CIÊ 1º ANO	Editora Ática									
9788508178582	ÁTICA	2	2º Ano	História	Ensino Fundamental 1	Projeto Lumirá	LUMIRÁ - HISTÓRIA 2º ANO 2 ED -2015	Editora Ática									
9788508178605	ÁTICA	2	3º Ano	História	Ensino Fundamental 1	Projeto Lumirá	LUMIRÁ - HISTÓRIA 3º ANO 2 ED- 2015	Editora Ática									
9788508178629	ÁTICA	2	4º Ano	História	Ensino Fundamental 1	Projeto Lumirá	LUMIRÁ - HISTÓRIA 4º ANO 2 ED- 2015	Editora Ática									
9788508178643	ÁTICA	2	5º Ano	História	Ensino Fundamental 1	Projeto Lumirá	LUMIRÁ - HISTÓRIA 5º ANO 2 ED - 2015	Editora Ática									
9788508178742	ÁTICA	2	1º Ano	Português	Ensino Fundamental 1	Projeto Lumirá	LUMIRÁ - LÍNGUA PORTUGUESA 1º ANO 	Editora Ática									
9788508178766	ÁTICA	2	2º Ano	Português	Ensino Fundamental 1	Projeto Lumirá	LUMIRÁ - LÍNGUA PORTUGUESA 2º ANO 	Editora Ática									
9788508178780	ÁTICA	2	3º Ano	Português	Ensino Fundamental 1	Projeto Lumirá	LUMIRÁ - LÍNGUA PORTUGUESA 3º ANO	Editora Ática									
9788508178803	ÁTICA	2	4º Ano	Português	Ensino Fundamental 1	Projeto Lumirá	LUMIRÁ - LÍNGUA PORTUGUESA 4º ANO	Editora Ática									
9788508178827	ÁTICA	2	5º Ano	Português	Ensino Fundamental 1	Projeto Lumirá	LUMIRÁ - LÍNGUA PORTUGUESA 5º ANO	Editora Ática									
9788508178841	ÁTICA	2	1º Ano	Matemática	Ensino Fundamental 1	Projeto Lumirá	LUMIRÁ - MATEMÁTICA 1º ANO 	Editora Ática									
9788508178865	ÁTICA	2	2º Ano	Matemática	Ensino Fundamental 1	Projeto Lumirá	LUMIRÁ - MATEMÁTICA 2º ANO	Editora Ática									
9788508178889	ÁTICA	2	3º Ano	Matemática	Ensino Fundamental 1	Projeto Lumirá	LUMIRÁ - MATEMÁTICA 3º ANO	Editora Ática									
9788508178902	ÁTICA	2	4º Ano	Matemática	Ensino Fundamental 1	Projeto Lumirá	LUMIRÁ - MATEMÁTICA 4º ANO	Editora Ática									
9788508178926	ÁTICA	2	5º Ano	Matemática	Ensino Fundamental 1	Projeto Lumirá	LUMIRÁ - MATEMÁTICA 5º ANO	Editora Ática									
9788508156085	ÁTICA	2	1º Ano	Inglês	Ensino Fundamental 1	Start Up	START UP - STAGE 1	Eliete Morino e Rita Faria									
9788508156108	ÁTICA	2	2º Ano	Inglês	Ensino Fundamental 1	Start Up	START UP - STAGE 2	Eliete Morino e Rita Faria									
9788508156122	ÁTICA	2	3º Ano	Inglês	Ensino Fundamental 1	Start Up	START UP - STAGE 3	Eliete Morino e Rita Faria									
9788508156146	ÁTICA	2	4º Ano	Inglês	Ensino Fundamental 1	Start Up	START UP - STAGE 4	Eliete Morino e Rita Faria									
9788508156160	ÁTICA	2	5º Ano	Inglês	Ensino Fundamental 1	Start Up	START UP - STAGE 5	Eliete Morino e Rita Faria									
2665832	ÁTICA	1	1º Ano	Inglês	Ensino Fundamental 2	American More!	AMERICAN MORE! COMBO 1A	Herbert Puchta e Jeff Stranks									
2665863	ÁTICA	1	1º Ano	Inglês	Ensino Fundamental 2	American More!	AMERICAN MORE! COMBO 1B	Herbert Puchta e Jeff Stranks									
2665870	ÁTICA	1	2º Ano	Inglês	Ensino Fundamental 2	American More!	AMERICAN MORE! COMBO 2A	Herbert Puchta e Jeff Stranks									
2665887	ÁTICA	1	2º Ano	Inglês	Ensino Fundamental 2	American More!	AMERICAN MORE! COMBO 2B	Herbert Puchta e Jeff Stranks									
2665894	ÁTICA	1	3º Ano	Inglês	Ensino Fundamental 2	American More!	AMERICAN MORE! COMBO 3A	Herbert Puchta e Jeff Stranks									
2665900	ÁTICA	1	3º Ano	Inglês	Ensino Fundamental 2	American More!	AMERICAN MORE! COMBO 3B	Herbert Puchta e Jeff Stranks									
2665849	ÁTICA	1	4º Ano	Inglês	Ensino Fundamental 2	American More!	AMERICAN MORE! COMBO 4A	Herbert Puchta e Jeff Stranks									
2665856	ÁTICA	1	4º Ano	Inglês	Ensino Fundamental 2	American More!	AMERICAN MORE! COMBO 4B	Herbert Puchta e Jeff Stranks									
2645681	ÁTICA	1	1º Ano	Inglês	Ensino Fundamental 2	American More!	AMERICAN MORE! FULL 1	Herbert Puchta e Jeff Stranks									
2645698	ÁTICA	1	2º Ano	Inglês	Ensino Fundamental 2	American More!	AMERICAN MORE! FULL 2	Herbert Puchta e Jeff Stranks									
2645704	ÁTICA	1	3º Ano	Inglês	Ensino Fundamental 2	American More!	AMERICAN MORE! FULL 3	Herbert Puchta e Jeff Stranks									
2645711	ÁTICA	1	4º Ano	Inglês	Ensino Fundamental 2	American More!	AMERICAN MORE! FULL 4	Herbert Puchta e Jeff Stranks									
9788508147175	ÁTICA	13	6º Ano	Redação	Ensino Fundamental 2	Aulas de Redação	AULAS DE REDAÇÃO	Maria Aparecida Negrinho									
9788508129539	ÁTICA	11	7º Ano	Redação	Ensino Fundamental 2	Aulas de Redação	AULAS DE REDAÇÃO	Maria Aparecida Negrinho									
9788508129515	ÁTICA	12	8º Ano	Redação	Ensino Fundamental 2	Aulas de Redação	AULAS DE REDAÇÃO	Maria Aparecida Negrinho									
9788508129492	ÁTICA	13	9º Ano	Redação	Ensino Fundamental 2	Aulas de Redação	AULAS DE REDAÇÃO	Maria Aparecida Negrinho									
9788508165155	ÁTICA	61	9º Ano	Ciências	Ensino Fundamental 2	Ciências-Barros	Ciências - FÍSICA E QUÍMICA	Carlos Barros e Wilson Paulino									
9788508165131	ÁTICA	68	8º Ano	Ciências	Ensino Fundamental 2	Ciências-Barros	Ciências - O CORPO HUMANO	Carlos Barros e Wilson Paulino									
9788508165094	ÁTICA	75	6º Ano	Ciências	Ensino Fundamental 2	Ciências-Barros	Ciências - O MEIO AMBIENTE	Carlos Barros e Wilson Paulino									
9788508165117	ÁTICA	69	7º Ano	Ciências	Ensino Fundamental 2	Ciências-Barros	Ciências - OS SERES VIVOS	Carlos Barros e Wilson Paulino									
9788508099214	ÁTICA	1	VU	Arte	Ensino Fundamental 2	Descobrindo a História da Arte	DESCOBRINDO A HISTÓRIA DA ARTE	Graça Proença									
9788508172368	ÁTICA	7	6º Ano	Inglês	Ensino Fundamental 2	Hello	HELLO! - STAGE 6	Eliete Morino e Rita Faria									
9788508172344	ÁTICA	6	7º Ano	Inglês	Ensino Fundamental 2	Hello	HELLO! - STAGE 7	Eliete Morino e Rita Faria									
9788508172320	ÁTICA	6	8º Ano	Inglês	Ensino Fundamental 2	Hello	HELLO! - STAGE 8	Eliete Morino e Rita Faria									
9788508172306	ÁTICA	6	9º Ano	Inglês	Ensino Fundamental 2	Hello	HELLO! - STAGE 9	Eliete Morino e Rita Faria									
9788508158218	ÁTICA	2	9º Ano	Biologia	Ensino Fundamental 2	Projeto Teláris	PROJETO TELARIS CAD. DE BIOLOGIA 	Sérgio Linhares e Fernando Gewandsznajder									
9788508172573	ÁTICA	2	6º Ano	Geografia	Ensino Fundamental 2	Projeto Teláris	PROJETO TELARIS GEOGRAFIA 6º ANO	J. W. Vesentini e Vânia Vlach									
9788508172559	ÁTICA	2	7º Ano	Geografia	Ensino Fundamental 2	Projeto Teláris	PROJETO TELARIS GEOGRAFIA 7º ANO	J. W. Vesentini e Vânia Vlach									
9788508172535	ÁTICA	2	8º Ano	Geografia	Ensino Fundamental 2	Projeto Teláris	PROJETO TELARIS GEOGRAFIA 8º ANO	J. W. Vesentini e Vânia Vlach									
9788508172283	ÁTICA	2	9º Ano	Geografia	Ensino Fundamental 2	Projeto Teláris	PROJETO TELARIS GEOGRAFIA 9º ANO	J. W. Vesentini e Vânia Vlach									
9788508172658	ÁTICA	2	6º Ano	História	Ensino Fundamental 2	Projeto Teláris	PROJETO TELARIS HISTORIA 6º ANO	Gislane Azevedo e Reinaldo Seriacopi									
9788508172634	ÁTICA	2	7º Ano	História	Ensino Fundamental 2	Projeto Teláris	PROJETO TELARIS HISTORIA 7º ANO	Gislane Azevedo e Reinaldo Seriacopi									
9788508172610	ÁTICA	2	8º Ano	História	Ensino Fundamental 2	Projeto Teláris	PROJETO TELARIS HISTORIA 8º ANO	Gislane Azevedo e Reinaldo Seriacopi									
9788508172597	ÁTICA	2	9º Ano	História	Ensino Fundamental 2	Projeto Teláris	PROJETO TELARIS HISTORIA 9º ANO	Gislane Azevedo e Reinaldo Seriacopi									
9788508172733	ÁTICA	2	6º Ano	Matemática	Ensino Fundamental 2	Projeto Teláris	PROJETO TELARIS MATEMICA 6º ANO	Luiz Roberto Dante									
9788508172719	ÁTICA	2	7º Ano	Matemática	Ensino Fundamental 2	Projeto Teláris	PROJETO TELARIS MATEMICA 7º ANO	Luiz Roberto Dante									
9788508172696	ÁTICA	2	8º Ano	Matemática	Ensino Fundamental 2	Projeto Teláris	PROJETO TELARIS MATEMICA 8º ANO	Luiz Roberto Dante									
